data,submercado,pld,ano,mes
2001-01-01,NORDESTE,33.87,2001,1
2001-01-01,NORTE,33.87,2001,1
2001-01-01,SUDESTE,56.92,2001,1
2001-01-01,SUL,56.92,2001,1
2001-02-01,NORDESTE,121.47,2001,2
2001-02-01,NORTE,121.47,2001,2
2001-02-01,SUDESTE,160.29,2001,2
2001-02-01,SUL,154.17,2001,2
2001-03-01,NORDESTE,154.21,2001,3
2001-03-01,NORTE,154.21,2001,3
2001-03-01,SUDESTE,165.97,2001,3
2001-03-01,SUL,151.6,2001,3
2001-04-01,NORDESTE,247.35,2001,4
2001-04-01,NORTE,247.35,2001,4
2001-04-01,SUDESTE,252.18,2001,4
2001-04-01,SUL,242.66,2001,4
2001-05-01,NORDESTE,440.99,2001,5
2001-05-01,NORTE,440.99,2001,5
2001-05-01,SUDESTE,459.89,2001,5
2001-05-01,SUL,420.22,2001,5
2001-06-01,NORDESTE,684.0,2001,6
2001-06-01,NORTE,549.42,2001,6
2001-06-01,SUDESTE,684.0,2001,6
2001-06-01,SUL,67.63,2001,6
2001-07-01,NORDESTE,684.0,2001,7
2001-07-01,NORTE,684.0,2001,7
2001-07-01,SUDESTE,684.0,2001,7
2001-07-01,SUL,53.64,2001,7
2001-08-01,NORDESTE,684.0,2001,8
2001-08-01,NORTE,684.0,2001,8
2001-08-01,SUDESTE,684.0,2001,8
2001-08-01,SUL,46.2,2001,8
2001-09-01,NORDESTE,647.45,2001,9
2001-09-01,NORTE,579.6,2001,9
2001-09-01,SUDESTE,579.6,2001,9
2001-09-01,SUL,74.25,2001,9
2001-10-01,NORDESTE,562.15,2001,10
2001-10-01,NORTE,336.0,2001,10
2001-10-01,SUDESTE,336.0,2001,10
2001-10-01,SUL,13.62,2001,10
2001-11-01,NORDESTE,562.15,2001,11
2001-11-01,NORTE,336.0,2001,11
2001-11-01,SUDESTE,336.0,2001,11
2001-11-01,SUL,38.05,2001,11
2001-12-01,NORDESTE,562.15,2001,12
2001-12-01,NORTE,336.0,2001,12
2001-12-01,SUDESTE,336.0,2001,12
2001-12-01,SUL,26.4,2001,12
2002-01-01,NORDESTE,515.17,2002,1
2002-01-01,NORTE,4.04,2002,1
2002-01-01,SUDESTE,297.05,2002,1
2002-01-01,SUL,50.49,2002,1
2002-02-01,NORDESTE,319.41,2002,2
2002-02-01,NORTE,4.45,2002,2
2002-02-01,SUDESTE,43.86,2002,2
2002-02-01,SUL,8.02,2002,2
2002-03-01,NORDESTE,5.79,2002,3
2002-03-01,NORTE,5.79,2002,3
2002-03-01,SUDESTE,9.77,2002,3
2002-03-01,SUL,9.11,2002,3
2002-04-01,NORDESTE,6.97,2002,4
2002-04-01,NORTE,9.12,2002,4
2002-04-01,SUDESTE,14.58,2002,4
2002-04-01,SUL,15.0,2002,4
2002-05-01,NORDESTE,4.12,2002,5
2002-05-01,NORTE,10.4,2002,5
2002-05-01,SUDESTE,19.53,2002,5
2002-05-01,SUL,20.23,2002,5
2002-06-01,NORDESTE,7.73,2002,6
2002-06-01,NORTE,7.01,2002,6
2002-06-01,SUDESTE,13.39,2002,6
2002-06-01,SUL,11.83,2002,6
2002-07-01,NORDESTE,16.45,2002,7
2002-07-01,NORTE,13.62,2002,7
2002-07-01,SUDESTE,16.67,2002,7
2002-07-01,SUL,16.9,2002,7
2002-08-01,NORDESTE,12.87,2002,8
2002-08-01,NORTE,11.22,2002,8
2002-08-01,SUDESTE,11.32,2002,8
2002-08-01,SUL,11.83,2002,8
2002-09-01,NORDESTE,5.35,2002,9
2002-09-01,NORTE,5.35,2002,9
2002-09-01,SUDESTE,5.82,2002,9
2002-09-01,SUL,5.97,2002,9
2002-10-01,NORDESTE,4.65,2002,10
2002-10-01,NORTE,4.65,2002,10
2002-10-01,SUDESTE,4.84,2002,10
2002-10-01,SUL,4.63,2002,10
2002-11-01,NORDESTE,6.0,2002,11
2002-11-01,NORTE,6.34,2002,11
2002-11-01,SUDESTE,6.44,2002,11
2002-11-01,SUL,4.54,2002,11
2002-12-01,NORDESTE,5.2,2002,12
2002-12-01,NORTE,6.31,2002,12
2002-12-01,SUDESTE,5.05,2002,12
2002-12-01,SUL,4.23,2002,12
2003-01-01,NORDESTE,4.33,2003,1
2003-01-01,NORTE,4.29,2003,1
2003-01-01,SUDESTE,4.05,2003,1
2003-01-01,SUL,4.02,2003,1
2003-02-01,NORDESTE,4.0,2003,2
2003-02-01,NORTE,4.0,2003,2
2003-02-01,SUDESTE,4.0,2003,2
2003-02-01,SUL,4.0,2003,2
2003-03-01,NORDESTE,4.0,2003,3
2003-03-01,NORTE,4.0,2003,3
2003-03-01,SUDESTE,4.0,2003,3
2003-03-01,SUL,4.0,2003,3
2003-04-01,NORDESTE,5.48,2003,4
2003-04-01,NORTE,5.48,2003,4
2003-04-01,SUDESTE,5.48,2003,4
2003-04-01,SUL,5.48,2003,4
2003-05-01,NORDESTE,6.34,2003,5
2003-05-01,NORTE,6.23,2003,5
2003-05-01,SUDESTE,7.3,2003,5
2003-05-01,SUL,7.3,2003,5
2003-06-01,NORDESTE,10.53,2003,6
2003-06-01,NORTE,10.43,2003,6
2003-06-01,SUDESTE,11.22,2003,6
2003-06-01,SUL,11.22,2003,6
2003-07-01,NORDESTE,9.87,2003,7
2003-07-01,NORTE,13.1,2003,7
2003-07-01,SUDESTE,13.14,2003,7
